addr,name,size,factor_a,factor_b,unit,format,description
0x1F50,zhoSYNC_ST,2,1.000000,0.000000,-,6.2f,Synchronisationsstatus des Zumesshandlers
0x1F51,zuoAB_VE1,2,0.023438,0.000000,Grad KW,6.2f,Ansteuerbeginn Voreinspritzung
0x1F52,zuoAD_VE1,2,1.000000,0.000000,uS,6.2f,Ansteuerdauer Voreinspritzung
0x1F53,zuoME_VE,2,0.010000,0.000000,mm^3,6.2f,M_E Menge Voreinspritzung
0x1F55,zuoVE_STAT,2,1.000000,0.000000,-,6.2f,Voreinspritzung - Schalter
0x1F57,zuoMEVGW,2,0.010000,0.000000,mm^3,6.2f,GW-Kennfeld Menge Voreinspritzung
0x1F5A,zumAB_HE,2,0.023438,0.000000,Grad KW,6.2f,Ansteuerbeginn Haupteinspritzung
0x1F5B,zuoAD_HE,2,1.000000,0.000000,uS,6.2f,Ansteuerdauer Haupteinspritzung
0x1F5C,zuoMEHE,2,0.010000,0.000000,mm^3,6.2f,M_E Menge Haupteinspritzung
0x1F5D,zumP_RAIL,2,10.235414,0.000000,bar,6.2f,Raildruck fuer Mengenzumessung
0x1F5E,zumPQsoll,2,10.235414,0.000000,bar,6.2f,Raildruck Sollwert
0x1F60,zumAB_NE,2,0.023438,0.000000,Grad KW,6.2f,Ansteuerbeginn Nacheinspritzung
0x1F61,zumAD_NE,2,1.000000,0.000000,uS,6.2f,Ansteuerdauer Nacheinspritzung
0x1F8E,mrmM_EDELB,2,0.010000,0.000000,mm^3,6.2f,M_E begrenzte Abgleichmenge
0x1F9A,mroKickDwn,2,1.000000,0.000000,-,6.2f,Schalter Kickdown
0x1FB0,camS_KO,2,1.000000,0.000000,-,6.2f,Schalter Klimakompressor
0x1FB1,camS_AC,2,1.000000,0.000000,-,6.2f,Schalter Klimabereitschaft
0x2000,admWTF,2,0.100000,-273.140000,Grad C,6.2f,WTF Rohwert Wassertemperatur
0x2001,admLTF,2,0.100000,-273.140000,Grad C,6.2f,LTF Rohwert Lufttemperatur
0x2002,admKTF,2,0.100000,-273.140000,Grad C,6.2f,KTF Rohwert Kraftstofftemperatur
0x2006,admVDF,2,0.001000,0.000000,bar,6.2f,VDF Rohwert Vorfoerderdruck
0x2041,admADF,2,1.000000,0.000000,mbar,6.2f,ADF Rohwert Atmosphaerendruck
0x2042,admLDF,2,1.000000,0.000000,mbar,6.2f,LDF Rohwert Ladedruck
0x2060,admPWG,2,0.010000,0.000000,%,6.2f,PWG Rohwert Pedalwertgeber Poti 1
0x2061,admLMM,2,0.010000,0.000000,%,6.2f,LMM Rohwert Luftmasse
0x2065,admUBT,2,0.023620,0.000000,V,6.2f,UBT Rohwert Batteriespannung
0x2152,gsoGS_Pha,2,1.000000,0.000000,-,6.2f,Gluehzeitsteuerung Gluehphase
0x2160,caoVERB,2,1.000000,0.000000,ul,6.2f,Kraftstoffverbrauch fuer CAN DDE4-VERBRAUCH
0x2210,mroMD_SOLL,2,2.000000,0.000000,Nm,6.2f,Sollmoment
