addr,name,size,factor_a,factor_b,unit,format,description
0x141C,CoEng_trqLimMin_mp,2,0.114445,-2500.060084,Nm,8.3f,"Begrenzungsmoment, falls kein momentenbegrenzender Systemfehler vorliegt (Minimum aus Rauchgrenze un Motormech.schutz)"
0x141D,CoVM_trqPrpDes,2,0.114445,-2500.058653,Nm,8.3f,Wunsch Vortriebsmoment
0x1420,DSM_ctRdyTstMisf_mp,2,1.000000,0.000000,-,5.1f,Anzahl von in diesem Zyklus getesteten Fehlerpfaden die zum Readiness Bit Misfire  gehören.
0x1421,AOHt_stShutOff_mp,2,1.000000,0.000000,-,8.2f,Überblick auf alle Abschaltbedingungen
0x1422,FrmMng_lSum,2,10.000000,0.000000,km,8.1f,Kilometerstand des Fahrzeugs
0x1424,DSM_stRdyAB,2,1.000000,0.000000,-,8.2f,Readiness Status für Diagnoseschnittstelle gemäß SAE J1979 PID1 Byte A + B
0x1426,PCVCD_iActVal,2,0.228891,0.000000,mA,8.2f,Analogeingang Strom-Istwert
0x1428,Gearbx_swtType,2,1.000000,0.000000,-,5.3f,Getriebetyp (0: manuell(MT); 1: automatisch(AT); 2: Schaltautomatisch(AST); 3: StufenlosesGetriebe (CVT); 4:automatic Z-Car)
0x1429,InjVlv_nCyl1,2,0.125002,0.000000,rpm,8.2f,Zylinderspezifische Drehzahl für Zylinder 1
0x142A,InjVlv_nCyl2,2,0.125002,0.000000,rpm,8.2f,Zylinderspezifische Drehzahl für Zylinder 2
0x142B,InjVlv_nCyl3,2,0.125002,0.000000,rpm,8.2f,Zylinderspezifische Drehzahl für Zylinder 3
0x142C,InjVlv_nCyl4,2,0.125002,0.000000,rpm,8.2f,Zylinderspezifische Drehzahl für Zylinder 4
0x142D,InjVlv_nCyl5,2,0.125002,0.000000,rpm,8.2f,Zylinderspezifische Drehzahl für Zylinder 5
0x142E,InjVlv_nCyl6,2,0.125002,0.000000,rpm,8.2f,Zylinderspezifische Drehzahl für Zylinder 6
0x142F,InjVlv_qFBCCyl1,2,0.003052,-99.998993,mg/hub,8.4f,Zylinderselektive FBC-Mengenkorrektur für Zylinder 1
0x1430,InjVlv_qFBCCyl2,2,0.003052,-99.998993,mg/hub,8.4f,Zylinderselektive FBC-Mengenkorrektur für Zylinder 2
