Category,Bosch Name,Unit,DDE4 M57 (E39) ADR,DDE4 M57 (E39) FACT_A,DDE4 M57 (E39) FACT_B,DDE5 M57TU (E39/E46) ADR,DDE5 M57TU (E39/E46) FACT_A,DDE5 M57TU (E39/E46) FACT_B,DDE5 M57TU (E53) ADR,DDE5 M57TU (E53) FACT_A,DDE5 M57TU (E53) FACT_B,DDE5 M57TU (E60) ADR,DDE5 M57TU (E60) FACT_A,DDE5 M57TU (E60) FACT_B,DDE6 M57TU2 (E60/E90) ADR,DDE6 M57TU2 (E60/E90) FACT_A,DDE6 M57TU2 (E60/E90) FACT_B,DDE6.2 M57TU2TOP ADR,DDE6.2 M57TU2TOP FACT_A,DDE6.2 M57TU2TOP FACT_B,DDE5 M47TU (E46) ADR,DDE5 M47TU (E46) FACT_A,DDE5 M47TU (E46) FACT_B,DDE5 M47TU (E46/E83) ADR,DDE5 M47TU (E46/E83) FACT_A,DDE5 M47TU (E46/E83) FACT_B,DDE6 M47TU2 (E90) ADR,DDE6 M47TU2 (E90) FACT_A,DDE6 M47TU2 (E90) FACT_B
LAMBDA/O2,EGSys_tEGLSU[0],deg C,,,,,,,,,,,,,0x151B,1.000244,-51.085797,0x151B,1.000244,-51.085797,,,,,,,0x151B,1.000244,-51.085797
LAMBDA/O2,EGSys_tWallLSU[0],deg C,,,,,,,,,,,,,0x151A,1.000244,-51.085797,0x151A,1.000244,-51.085797,,,,,,,0x151A,1.000244,-51.085797
LAMBDA/O2,EGSys_wLSU_mp[0],kJ,,,,,,,,,,,,,0x151C,1.000000,0.000000,0x151C,1.000000,0.000000,,,,,,,0x151C,1.000000,0.000000
LAMBDA/O2,FrmMng_lSum,km,,,,0x009A,0.000000,0,0x1422,10.000000,0.000000,0x009A,0.000000,0,0x15E0,8.000000,0.000000,0x15E0,8.000000,0.000000,0x009A,0.000000,0,0x1422,10.000000,0.000000,0x15E0,8.000000,0.000000
LAMBDA/O2,LSUCD_drO2Adpt,-,,,,,,,0x153C,0.000010,0.000000,,,,,,,,,,,,,0x153C,0.000010,0.000000,,,
LAMBDA/O2,LSUCD_drO2Adpt[0],-,,,,,,,,,,,,,0x1806,0.000009,-0.299986,0x1806,0.000009,-0.299986,,,,,,,0x1806,0.000009,-0.299986
LAMBDA/O2,LSUCD_facO2Corr_mp,-,,,,,,,0x153D,0.000122,0.000000,,,,,,,,,,,,,0x153D,0.000122,0.000000,,,
LAMBDA/O2,LSUCD_facO2Corr_mp[0],-,,,,,,,,,,,,,0x1807,0.000122,0.000000,0x1807,0.000122,0.000000,,,,,,,0x1807,0.000122,0.000000
LAMBDA/O2,LSUCD_rO2Act,-,,,,,,,0x14C5,0.000010,0.000000,,,,,,,,,,,,,0x14C5,0.000010,0.000000,,,
LAMBDA/O2,LSUCD_rO2Adpt,-,,,,,,,0x14C6,0.000010,0.000000,,,,,,,,,,,,,0x14C6,0.000010,0.000000,,,
